Reference, Quantity, Value, Footprint, Datasheet
C10 C2 C6 C3 C4 C20 C22 C24 C23 C25 C18 C27 C26 ,13,"1uF","Capacitor_THT:C_Rect_L13.0mm_W4.0mm_P10.00mm_FKS3_FKP3_MKS4","https://es.rs-online.com/web/p/condensadores-de-pelicula-de-poliester/1710733/~"
C12 C13 C11 C8 C9 C1 C7 C21 C19 C14 C16 C29 C17 C28 C30 ,15,"100nF - 100V","Capacitor_THT:C_Rect_L7.2mm_W2.5mm_P5.00mm_FKS2_FKP2_MKS2_MKP2","https://es.rs-online.com/web/p/condensadores-de-pelicula-de-poliester/1710743/"
C5 C15 ,2,"4.7uF 50V","Capacitor_THT:CP_Radial_D5.0mm_P2.00mm","https://es.rs-online.com/web/p/condensadores-de-aluminio/1701286/"
D1 D4 D2 D3 ,4,"1N4007","Diode_THT:D_DO-41_SOD81_P10.16mm_Horizontal","https://es.rs-online.com/web/p/diodos-schottky-y-rectificadores/6491187/"
J10 ,1,"BPM","Ventilator:PushButton","https://es.rs-online.com/web/p/botones-pulsadores/7346827/"
J11 ,1,"UART","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical","~"
J12 ,1,"I2C Interface LCD_C","Ventilator:PH_4_pol","~"
J13 ,1,"BUZZER_C","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","https://es.rs-online.com/web/p/componentes-de-piezo-buzzer/6173097/?relevancy-data=636F3D3126696E3D4931384E525353746F636B4E756D626572266C753D656E266D6D3D6D61746368616C6C26706D3D5E2828282872737C5253295B205D3F293F285C647B337D5B5C2D5C735D3F5C647B332C347D5B705061415D3F29297C283235285C647B387D7C5C647B317D5C2D5C647B377D2929292426706F3D3126736E3D592673723D2673743D52535F53544F434B5F4E554D4245522677633D4E4F4E45267573743D3631372D33303937267374613D3631373330393726&searchHistory=%7B%22enabled%22%3Atrue%7D"
J14 ,1,"MUTE","Ventilator:PushButton_LED","https://es.rs-online.com/web/p/botones-pulsadores/8207521/"
J15 ,1,"HISTORY","Ventilator:PushButton","https://es.rs-online.com/web/p/botones-pulsadores/7346827/"
J16 ,1,"IP","Ventilator:PushButton","https://es.rs-online.com/web/p/botones-pulsadores/7346827/"
J17 ,1,"-","Ventilator:PushButton","https://es.rs-online.com/web/p/botones-pulsadores/7346827/"
J18 ,1,"BREATH","Ventilator:PushButton_LED","https://es.rs-online.com/web/p/botones-pulsadores/8207533/"
J19 ,1,"EP","Ventilator:PushButton","https://es.rs-online.com/web/p/botones-pulsadores/7346827/"
J2 J1 J7 ,3,"TE_3.5mm_Screwless_P2","Ventilator:PinHeader_1x02_Screwless_3.5mm","https://es.rs-online.com/web/p/bloques-terminales-para-pcb/1232052/"
J20 ,1,"+","Ventilator:PushButton","https://es.rs-online.com/web/p/botones-pulsadores/7346827/"
J21 ,1,"VOL_MIN","Ventilator:PushButton","https://es.rs-online.com/web/p/botones-pulsadores/7346827/"
J22 ,1,"VOL","Ventilator:PushButton","https://es.rs-online.com/web/p/botones-pulsadores/7346827/"
J23 ,1,"VOL_MAX","Ventilator:PushButton","https://es.rs-online.com/web/p/botones-pulsadores/7346827/"
J3 ,1,"UART_M","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical","~"
J4 J24 ,2,"Conn_01x08","Connector_PinHeader_2.54mm:PinHeader_1x08_P2.54mm_Horizontal","~"
J5 ,1,"BUZZER","Ventilator:PH_2_pol","https://es.rs-online.com/web/p/componentes-de-piezo-buzzer/6173097/?relevancy-data=636F3D3126696E3D4931384E525353746F636B4E756D626572266C753D656E266D6D3D6D61746368616C6C26706D3D5E2828282872737C5253295B205D3F293F285C647B337D5B5C2D5C735D3F5C647B332C347D5B705061415D3F29297C283235285C647B387D7C5C647B317D5C2D5C647B377D2929292426706F3D3126736E3D592673723D2673743D52535F53544F434B5F4E554D4245522677633D4E4F4E45267573743D3631372D33303937267374613D3631373330393726&searchHistory=%7B%22enabled%22%3Atrue%7D"
J6 ,1,"I2C Interface LCD_M","Ventilator:PH_4_pol","~"
J8 ,1,"SV2","Ventilator:PinHeader_1x02_Screwless_3.5mm","https://es.rs-online.com/web/p/bloques-terminales-para-pcb/1232052/"
J9 ,1,"SV3","Ventilator:PinHeader_1x02_Screwless_3.5mm","https://es.rs-online.com/web/p/bloques-terminales-para-pcb/1232052/"
MK1 ,1,"Microphone","Ventilator:MIC","https://es.rs-online.com/web/p/componentes-de-microfono-para-condensador/7243125/?relevancy-data=636F3D3126696E3D4931384E525353746F636B4E756D626572266C753D656E266D6D3D6D61746368616C6C26706D3D5E2828282872737C5253295B205D3F293F285C647B337D5B5C2D5C735D3F5C647B332C347D5B705061415D3F29297C283235285C647B387D7C5C647B317D5C2D5C647B377D2929292426706F3D3126736E3D592673723D2673743D52535F53544F434B5F4E554D4245522677633D4E4F4E45267573743D3732342D33313235267374613D3732343331323526&searchHistory=%7B%22enabled%22%3Atrue%7D"
Q1 Q2 Q3 ,3,"STP24NF10 ","Package_TO_SOT_THT:TO-220-3_Vertical","https://es.rs-online.com/web/p/mosfet/6875377/"
R24 ,1,"22k","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~"
R3 R5 ,2,"220k","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~"
R4 R2 R11 R9 R25 R35 R19 R20 R21 R22 R23 R18 R27 R28 R31 R32 R30 R36 ,18,"10k","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~"
R6 R14 R26 ,3,"50","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~"
R7 R10 R8 R12 R1 R34 R33 R16 R17 R15 R13 R29 ,12,"470","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~"
S1 S2 S3 S4 ,4,"MPXV5004DP","Ventilator:1351-01","https://es.rs-online.com/web/p/sensores-de-presion/9227399/"
TP3 TP2 TP1 TP4 TP7 TP6 TP5 TP8 TP12 TP11 TP10 TP13 ,12,"TestPoint","Ventilator:LCD_DRILL","~"
TP9 ,1,"TestPoint_Alt","Ventilator:pcb","~"
U1 ,1,"LM358","Package_DIP:DIP-8_W7.62mm_LongPads","http://www.ti.com/lit/ds/symlink/lm2904-n.pdf"
U2 U4 ,2,"LM7805_TO220","Package_TO_SOT_THT:TO-220-3_Vertical","http://www.fairchildsemi.com/ds/LM/LM7805.pdf"
U3 U5 ,2,"XPRESS-40","Ventilator:EXPRESS-40_DIP_40","https://es.rs-online.com/web/p/kits-de-desarrollo-de-procesador-y-microcontrolador/1744238/"